Title,Company,Address,Posted In,Required Skills,Responsibilities,Requirements,Links
legal specialist,Concept Energy,"Maadi, Cairo, Egypt ",15 days ago,Full timeExperienced · 2 - 3 Yrs of Exp · Law · Contract · Commercial Law · Corporate Legal · lawyer · Communication · Writing · Legal · Microsoft Office · Administration,"Assist the legal compliance manager in drafting and reviewing various legal documents such as contracts, agreements, official letters, articles of association, and commitments involved in the company's business process; | Participate in the investment research process of the company's investment projects, due diligence, post-investment management, and be responsible for drafting and reviewing relevant legal texts; | Responsible for the review of the company's relevant contract text; | Contact and communicate with external lawyers, and participate in the guidance and evaluation of external lawyers. | "," Full-time bachelor degree or above, relevant background in civil and commercial law, economic law, passing the national judicial examination is preferred; | 2-3 years or above professional legal firm lawyer corporate legal work experience, project work experience in banks, trust companies, various asset management companies, or third-party wealth management companies is preferred; | Familiar with relevant financial laws and regulations such as contract law, company law, funds, trusts, capital markets, and insurance asset management; |  Strong sense of responsibility, good communication and understanding skills, and strong writing skills. | ",https://wuzzuf.net/jobs/p/sHaOVAoYso1i-legal-specialist-Concept-Energy-Cairo-Egypt?o=24&l=sp&t=sj&a=energy|search-v3|hpb
Customer Relations Specialist,Concept Energy,"Maadi, Cairo, Egypt ",15 days ago,Full timeEntry Level · 1 - 2 Yrs of Exp · Customer Service · Public Relations (PR) · Communication · Customer Care · Marketing · Operations · Management · Administration · Customer Service/Support · Media/Journalism/Publishing,"Responsible for the collection and management of major customer resources in the target industry according to the marketing plan; | Responsible for the promotion of the company's old customers, and coordinate the planning and implementation of the precise marketing plan for the old customers; |  Responsible for effectively evaluating and screening customer needs and market information through telephone visits, network information collection, etc.; | Responsible for answering calls from company customers, matching customer intentions, and conducting regular customer satisfaction surveys; |  Coordinate with the requirements of department leaders to do a good job in the promotion and maintenance of the customer relationship management system. | "," Bachelor degree or above, more than 3 years of customer relationship management work experience, proficient in Mandarin, polite, and establish and maintain a good corporate image; |  Familiar with computer operations, such as word, excel, PPT and other common office software; | Have excellent service awareness and professionalism, excellent communication and adaptability, and strong ability to withstand pressure; |  Have good data search and resource integration capabilities, strong learning ability and teamwork spirit. | ",https://wuzzuf.net/jobs/p/Up82V3aGKzPB-Customer-Relations-Specialist-Concept-Energy-Cairo-Egypt?o=25&l=sp&t=sj&a=energy|search-v3|hpb
Market Development Manager,Concept Energy,"Maadi, Cairo, Egypt ",15 days ago,Full timeManager · 2+ Yrs of Exp · Business Development · Marketing · Business Management · Sales Skills · Sales · Management · Business · Software · Negotiation · Planning," Market research before the start of the project; |  Form a salesable information product proposal according to market and enterprise needs, and complete the compilation and production of explanatory materials for customers; |  Offline customer development plan management; implementation of offline customer development plans; timely handling of various product-related objections in sales; |  According to the needs of promotion work and the objective requirements of the market, design and continuously launch various promotion programs; |  To undertake various training meetings and marketing activities required; business management and capacity building, develop new publicity channels, and be responsible for attracting new passenger flow; |  Grasp the industry information, check the development trend of the industry, the resource status of the main opponents, marketing strategies, etc.; understand the resource status of the company and make a comparative analysis with competitors; | Strengthen the coordination with the company and optimize the cooperation with the outside of the company; | Good image, responsible for business reception, familiar with business investigations, assist in developing market operations, and accept short-term business trips. | "," With more than 2 years of experience in market management or sales, majors in public relations, marketing, and business management are preferred; |  Familiar with the underwear and clothing industry, have done market promotion, planning and expansion, etc. are preferred; |  Good at maintaining and establishing distributors and other sales channels; |  Strong teamwork ability, strong sales awareness and customer public relations skills; |  Proficiency in operating various office software, with a certain level of writing skills, being able to draft negotiation plans and minutes, having strong language skills, and being able to negotiate with customers independently; |  Have a strong self-management and time management ability, be diligent and dedicated, bear hardships and stand hard work. | ",https://wuzzuf.net/jobs/p/Yp2Z1pF8VAJY-Market-Development-Manager-Concept-Energy-Cairo-Egypt?o=26&l=sp&t=sj&a=energy|search-v3|hpb
AI & IoT Application Developer,AIESEC Cairo University,"Ghaziabad, India ",1 month ago,InternshipEntry Level · Electronics Engineering · AI · IOT · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical," The interns will gain knowledge in state of art technologies in the field of advance power system operation and control. Further, the programme will address in-depth knowledge and practical experience on advance power systems using professional software platforms. The objective of this event is to provide an exposure of advance power systems concepts including renewable energy systems and enable problem solving ability of studentsin the relevant area. | ",Electronics engineering (Required) | Electrical engineering (Required) | ,https://wuzzuf.net/jobs/p/FlWveHlG5ucx-AI-IoT-Application-Developer-AIESEC-Cairo-University-Ghaziabad-India?o=27&l=sp&t=sj&a=energy|search-v3|hpb
Mechanical Quality Control Engineer,ECS - Energy & Contracting Solutions,"6th of October, Giza, Egypt ",18 days ago,Full timeExperienced · 3 - 6 Yrs of Exp · Quality Control · Engineering · Quality Assurance · Mechanical Engineering · Construction · Mechanical · Contracting · Quality · Quality · Engineering - Mechanical/Electrical,"Determines quality improvement parameters by identifying statistical methods relevant to construction processes. | Develops experiments by applying full and fractional techniques. | Prepares reports by collecting, analyzing, and summarizing data; making recommendations. | Perform the required inspections as per the approved ITP “Inspection Test Plan”. | Developing and implementing quality standards. | Developing and implementing quality control systems. | Monitoring and analyzing quality performance. | Ensuring that workflows, processes, and products comply with safety regulations. | Developing corrective actions, solutions, and improvements. | Attend all inspections with client/contractor representatives.   | Prepare daily QA/QC report regarding inspections, material and Non-conformance etc.   | Ensure that all works are carried out as per the approved method statements and drawings. | Creating and archiving quality documentation for database maintaining and quality certifications. | Develop and establish quality procedures and systems for inspecting plans, quality trends, statistical plan price estimates and technical quality proposal plans. | Ensure on time processing of non-conforming components. | ",Mechanical Engineering Bachelor’s degree | 3+ years of experience in the same role | Experience in Contracting/construction companies is a MUST | ,https://wuzzuf.net/jobs/p/ZErzkbZbxfiv-Mechanical-Quality-Control-Engineer-ECS---Energy-Contracting-Solutions-Giza-Egypt?o=28&l=sp&t=sj&a=energy|search-v3|hpb
Executive Sales Representative,KB Architects ,"New Cairo, Cairo, Egypt ",27 days ago,Full timeExperienced · 3 - 5 Yrs of Exp · females_only · Sales · Sales Skills · Sales Target · English · Communication · MS Office · Customer Service · Sales/Retail,"Generate and develop new customer accounts to increase company revenue, by conducting sales presentations and cold-calling if necessary | Follow up on client leads provided by the company | Work on customer requirements and meet expectations for deals closed | Conceptualize and present design including cost proposal to the customer | Manage design assignments with (Design department) from inception to completion. | Build and foster a network of referrals with contractors, and interior designers in order to create new opportunities for revenue growth. | Build and maintain ongoing awareness of new products and services, competitor activities and other research | ","Females Only | Self-motivated, with high energy and an engaging level of enthusiasm | Strong knowledge of MS Office programs | Excellent oral and written communication skills | Fluent in English oral and written is a must, and additional language is desirable | ",https://wuzzuf.net/jobs/p/Q4tWfg55GZ5H-Executive-Sales-Representative-KB-Architects-Cairo-Egypt?o=29&l=sp&t=sj&a=energy|search-v3|hpb
CFO Chief Financial Officer,Hexa Fuel,"Giza, Egypt ",17 days ago,Full timeSenior Management · 6 - 12 Yrs of Exp · Business · Leadership · Financial Management · Startup · Financial Analysis · Accounting · Finance · Accounting/Finance · C-Level Executive/GM/Director,"Driving the company's financial planning | Performing risk management by analyzing the organization’s liabilities and investments | Deciding on investment strategies by considering cash and liquidity risks. | Control and evaluate the organization’s fundraising plans and capital structure | Ensure cash flow is appropriate for the organization’s operations | Supervise all finance personnel (controllers, treasurers etc.) | Manage vendor relationships | Prepare reliable current and forecasting reports | Set up and oversee the company’s finance IT system | Ensure compliance with the law and company policies. | ","Have previous experience in renewable energy. | The ability to raise funds Bachelor degree in accounting | Very good Leadership & communication skills | Experience with corporate governance. | 6-12years of Proven experience as CFO, Finance Officer or relevant role. | Leadership skills | Awareness of business trends | ",https://wuzzuf.net/jobs/p/QqQmgSJVqx1F-CFO-Chief-Financial-Officer-Hexa-Fuel-Giza-Egypt?o=30&l=sp&t=sj&a=energy|search-v3|hpb
Business Development Coordinator,eBSEG,"Maadi, Cairo, Egypt ",13 days ago,Full timeEntry Level · 0 - 2 Yrs of Exp · females_only · Sales · Sales Skills · Business Development · CRM · Sales Target · Retail · Business Plans · Presentation Skills · Business Development,"Responsible for working as part of a team in prospecting and building a pipeline of qualified leads to meet business plans, quotas, and company objectives. | The primary focus of this role is to provide support to the sales teams can operate effectively on a day to day basis. | Work hand in hand with Regional Business development co Set advanced and detailed job requirement Specified regions. | Working hours to be specified. | Research and target prospects using a variety of sales tools. | Cold call in order to obtain key information from targeted prospects to meet the qualified lead criteria. | On a daily basis, track prospects - identify decision makers, timelines, hot-buttons, and specific qualifications and enter data accurately and consistently into the company's CRM. | ","Bachelor's degree preferred. | Exposure to a range of different systems / is adaptable to work in multiple environments Desirable. | Critical thinking related to estimating a prospect's interest level in the company's solution. | Proficient in MS Word, Excel, Outlook. | Communication and presentation skills both verbal and writing highly required. | Ability to manage time effectively. | Self-starter and goal-oriented. | Able to work in an entrepreneurial environment. | High energy, positive attitude. | Fluent in English. | The working hours from 09:00 to 5:00 PM, able to change according to clients time zone. | The ideal candidate should be ambitious, self-motivated, detail oriented, organized, and friendly with high energy, a willingness to learn and be creative. | Females only. | ",https://wuzzuf.net/jobs/p/J1AUNwJJo8eQ-Business-Development-Coordinator-eBSEG-Cairo-Egypt?o=31&l=sp&t=sj&a=energy|search-v3|hpb
School Integration Teacher/Practitioner,CIPPO,"Cairo, Egypt ",22 days ago,Full timeExperienced · 2+ Yrs of Exp · Children · Psychology · Education · Teaching · School · English · Medical/Healthcare · Education/Teaching,"Spend the day at school, with one child facing behavioral, emotional and neurodevelopmental challenges | Work closely with one child while collaborating with psychologists, parents, and teachers to support his/her integration at school | Get the research skills you need to be a qualified Social Education Needs (SEN), Teacher | Study different child psychology applications and theories | Join the strongest community of psychological child care | ","Passion and love for children  | Capacity and ability to learn and research new psychological concepts  | Customer focused skills with good communication and empathetic approaches  | Enthusiasm and energy towards children  | Bachelors or Masters degree in psychology, education or related fields is preferred  | ",https://wuzzuf.net/jobs/p/5NHP9qDfrAvi-School-Integration-TeacherPractitioner-CIPPO-Cairo-Egypt?o=32&l=sp&t=sj&a=energy|search-v3|hpb
Mechanical & Electrical Maintenance Head,Kapo Group/Kapo for Agri Projects,"Dkhaila, Alexandria, Egypt ",15 days ago,Full timeManager · 10 - 12 Yrs of Exp · Electromechanical · Mechanical Engineering · Electrical Engineering · Electrical Maintenance · Heavy Equipment · TO · Maintenance · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical,"Schedule and undertake periodic maintenance on all electrical equipment, components, and installations | Provide prompt response to inquiries whenever there is a breakdown, and resolve the issue as quickly as possible | Ensure that equipment's are in good working order so as to prevent disruption of activities | Installation of fresh electrical components and fittings | Recommend replacement for old or faulty electrical components or fittings to the management | Assist in forecasting requirements, creating a budget and scheduling expenses for the electrical department | Keep record of all stock and supplies, including company’s electrical equipment | Working in collaboration with the production team to formulate the best cost-effective manufacturing process | Perform energy audit and recommend alternative sources of energy | Help the organization to reduce energy costs | Ensure that all electrical gadgets and instruments are switched off after close of work daily | Fix and maintain lighting fixtures and fittings | Troubleshoot machine breakdowns and provide preventive maintenance services | Learn new skills and attend training programs in other to increase knowledge of trends and best practices in the industry | Provide safe working environment for members of staff, and ensure electricity induced accidents and mishaps are prevented | Take steps to prevent fire outbreaks by making appropriate recommendations to management | Purchase electrical fittings and components or supervise the staff charged with the responsibility | Provide 24 hours a day maintenance services or assign technical staff to do so | Supervise electrical works when new projects are undertaken | Support the company in increasing profitability by managing resources efficiently and making necessary recommendations. | ","required : a bachelor's degree in electrical, mechanical or electromechanical engineering. | A minimum of ten years of experience in maintenance is required, of which at least three years are in the position (Director of Mechanical and Electrical Maintenance Department) in unloading and heavy equipment companies. | The applicant must send copies of the following documents: - | ",https://wuzzuf.net/jobs/p/VXiDPWEcxHYF-Mechanical-Electrical-Maintenance-Head-Kapo-GroupKapo-for-Agri-Projects-Alexandria-Egypt?o=33&l=sp&t=sj&a=energy|search-v3|hpb
HSE Officer,NMDC,"Cairo, Egypt ",21 days ago,Full timeExperienced · 3 - 5 Yrs of Exp · HSE · Engineering · Safety · OSHA · NEBOSH · Construction · First Aid · Marine · MS Office · Oil & Gas,"Support project management in achieving HSE goals as set for project  | Assist project manager in adherence to JSA, Toolbox meetings and periodical inspections  | Perform incident and accident investigations  | Review and monitor issue of PPE for employees on site  | Monitors safety awareness and advises PM about improvement programs  | ","Minimum qualification NEBOSH, OSHA or Similar  | First Aid certification  | Minimum 3 years in the safety field (Marine / Construction / Oil & Gas) | Proficient MS Office  | ",https://wuzzuf.net/jobs/p/6hX0Vku6JWRk-HSE-Officer-NMDC-Cairo-Egypt?o=34&l=sp&t=sj&a=energy|search-v3|hpb
Technical Electrical Engineer.,Agrisolar,"6th of October, Giza, Egypt ",36 minutes ago,Full timeEntry Level · 1 - 3 Yrs of Exp · Engineering · English · Technical · Electrical Engineering · Power · Engineer · Solar Power · Solar · Engineering - Mechanical/Electrical · Engineering - Oil & Gas/Energy,"The applicant's responsibilities will be as followed, provide sound selections for pumps, inverter, and PV configuration, and of course provide technical support for end-user customer, and the companies that we supply. | The applicant will have to travel to areas in the desert when needed and stay over if the situation requires that. | ",Age from 24 to 29 | Tech Engineer. | Graduate  | 1-3-year experience” | Good command of English. | Knowledge is Solar Power field. | Previous experience in solar field is a plus. | Giza resident is a preferable. | ,https://wuzzuf.net/jobs/p/hv33CUtHBotn-Technical-Electrical-Engineer-Agrisolar-Giza-Egypt?o=35&l=sp&t=sj&a=energy|search-v3|hpb
Sales Manager - Oil & Gas And Construction industry,Premier Services and Recruitment,"New Cairo, Cairo, Egypt ",14 days ago,Full timeManager · 7+ Yrs of Exp · Engineering · Industrial · Indoor Sales · Sales · Sales Skills · Sales Target · Oil · Construction · Gas · English,Develop IMS’s position and customer base in Egypt | Ability to manage sales team effectively | Partner with the sales team to generate leads | Provide general technical support to clients | Achieve sales targets set by management | Follow up for collection of payment | ,"7+ years of sales experience in oil & gas and construction industry with pipes, fittings, valves, and industrial material | Strong verbal, written, and interpersonal skills | Bachelor’s degree in mechanical engineering or industrial engineering (preferred) | Solid computer skills | Proficient knowledge of Excel | Fluent in English & Arabic both written and spoken | Valid driving license | ",https://wuzzuf.net/jobs/p/iMjBs4Z99dji-Sales-Manager---Oil-Gas-And-Construction-industry-Premier-Services-and-Recruitment-Cairo-Egypt?o=36&l=sp&t=sj&a=energy|search-v3|hpb
MEP Planning Engineer,ECS - Energy & Contracting Solutions,"Maadi, Cairo, Egypt ",29 days ago,Full timeExperienced · 2 - 4 Yrs of Exp · Mechanical Engineering · Electrical Engineering · MEP Contracting · Planning · Contracting · MEP · Construction · Engineering · Engineering - Mechanical/Electrical · Engineering - Other,"Collaborate with other depts. teams internally to issue, review and implement project baselines, including resource loading and progress curves generation and monitoring. | Revise and highlight terms and conditions of contracts as updates become available | Work with legal and all relevant involved teams to ensure contracts time frames are in | Keep project schedules updated, including updating all project reports including manpower histogram, S-Curve and cash flow in. | Responsible for reporting projects KPIs and updated graphs ( performance VS actual ) and highlighting any area of concern and any potential delays and recommend an action plan to mitigation in liaising with the concerned depts. | Work on Variation Orders time frame impact assessment according to the legal and company’s standards in a timely manner. | Work on Claims delay analysis according to the legal and company’s standards in a timely manner. | Attend project meetings and discussions with and external clients. | ",Qualification: Engineering Bachelor Degree | Related Field Experience: 2-4 years relevant experience in the same role in contracting/construction field | ,https://wuzzuf.net/jobs/p/MIE3YKrllFlK-MEP-Planning-Engineer-ECS---Energy-Contracting-Solutions-Cairo-Egypt?o=37&l=sp&t=sj&a=energy|search-v3|hpb
Project Engineer,Confidential -,"Maadi, Cairo, Egypt ",1 day ago,Full timeExperienced · 2+ Yrs of Exp · males_only · Petrol · Mechanical Engineering · Project Management · Production · Mechanical Production · Mechanical · Planning · Oil & Gas · Electrical · Engineering,"Coordinate activities, resources, equipment and information. | Conduct kick-off/project progress update meetings. | Help prepare project proposals, time-frames, schedule and budget. | Monitor and track project’s progress and handle any issues that arise. | Act as the point of contact and communicate project status adequately to all participants. | Use project management tools to monitor working hours, budget, plans and money spend. | Report and escalate to management as needed. | Keep others informed about project status and issues that may impact client relations. | Create and maintain comprehensive project documentation, plans and reports. | ","Faculty of Engineering ""Petrol"" Or ""Mechanical Production, planning ,Electric "" Must. | Project Management Diploma  IS  MUST   | Gender : Males only | Analytical skills | Attention to details | Organized | Advanced Computer skills | ",https://wuzzuf.net/jobs/p/evynURi2OYwY-Project-Engineer-Cairo-Egypt?o=38&l=sp&t=sj&a=energy|search-v3|hpb
Music Teacher - Alexandria,Egyptian British International School,"Alexandria, Egypt ",1 day ago,Full timeExperienced · 2+ Yrs of Exp · Music · Education · Teaching · English · Education/Teaching,"Plan and prepare lessons in relation to individual students' needs and examination syllabuses | Create and utilize appropriate materials and the classroom environment to cater for different learning styles. | Teach music theory, aural skills and practical techniques to pupils entering and preparing pupils for examinations | Model and encourage cultural awareness and understanding and promote a love of learning | Initiate effort and energy beyond the typical work day, where the tasks require additional commitment | Assess pupils' abilities, providing feedback and writing reports | Ensure up-to-date knowledge and awareness of examination requirements | Communicate with academic staff and parents | ",Education/teaching degree OR teaching qualification | English proficiency is a must |  Alexandria Resident | At least 2 years of teaching experience | ,https://wuzzuf.net/jobs/p/h0dX2it1XmOq-Music-Teacher---Alexandria-Egyptian-British-International-School-Alexandria-Egypt?o=39&l=sp&t=sj&a=energy|search-v3|hpb
Sand Fill Supervisor - Bardawil,NMDC,"Arish, North Sinai, Egypt ",5 days ago,Full timeExperienced · 5+ Yrs of Exp · Dredging · Engineering · Marine Construction · Sand-Field · Marine · Microsoft Projects · Microsoft Office · English · Arabic · Quality,"To execute dredging activities related to, dredging, reclamation and civil marine projects within deadline and budget available.  | Ensure high quality, safety and environmental standards. | Focus on NMDC's business priorities while meeting customer demands. | Communicate with the supervising engineer for the operation and implementation of work orders as required Meet the requirements of safety regulations by the company and creating a healthy work environment and sound | Communicate and cooperate with the dredger which working with him | Maintain the capabilities of the company's Active equipment and machinery and other .... Etc. | Maintain the work schedules | ",Suitable professional qualification; experience in Sand-field and or marine construction. | Highly problem solving skills. | ,https://wuzzuf.net/jobs/p/EXglAm2kPaNG-Sand-Fill-Supervisor---Bardawil-NMDC-North-Sinai-Egypt?o=40&l=sp&t=sj&a=energy|search-v3|hpb
MRP Engineer,Power House Egypt,"6th of October, Giza, Egypt ",5 days ago,Full timeExperienced · 2 - 5 Yrs of Exp · Engineering · Manufacturing · Planning · MRP · ERP · Oil & Gas · Material Requirements Planning · Engineering - Oil & Gas/Energy,"Ensure that material scheduling strategy and processes are in place and work effectively | Manage inventory risk and ensure that contingency plans are in place | Ensure that any Material Requirements Planning system (MRP) or IT system in place is effective and that data is accurate and up to date and resolve any issues as required | Perform daily analysis to predict potential inventory problems. | Schedule the supply of materials/components to meet operation (Projects ) requirements and minimum safety stock levels | Plan, develop, implement and evaluate processes for material delivery from supplier to point of fit | Monitor inventory levels against agreed target levels | Link between different departments regarding raw materials | Reducing the inventory rate | Control and reduce OSMI (Obsolete & Slow Moving Inventory ) | ",Prefer working in same industry oil & gas | Exp 2-5 years | Good knowledge of  ERP System | ,https://wuzzuf.net/jobs/p/OyPoBs3AUbTh-MRP-Engineer-Power-House-Egypt-Giza-Egypt?o=41&l=sp&t=sj&a=energy|search-v3|hpb
Electrical Engineer,Marbella For Food Industry ,"Giza, Egypt ",1 month ago,Full timeExperienced · 2+ Yrs of Exp · Electrical Engineering · Electrical Power · Engineering · Sales · Electrical · AutoCAD · Design · Repair · Power · CAD,"Aids in the evaluation and endorsement of objectives and goals of contractor plans, including staffing and budgeting, milestone descriptions, risk management strategies, detailed schedules and scope descriptions, and work breakdown structures | Organizes and conducts field management surveillance, audits, and assessments | Offers technical guidance by acting as the business liaison to draft senior management briefs | Assists in resolving issues unique to the project or program | Plans and analyzes electronic engineering commodities | Creates test procedures and production assembly documents | Participates in team projects and related activities relative to new product development | Provides technical support to marketing and sales teams to create detailed proposals and bids | Conducts energy inspections and suggests alternative energy sources | Supports the organization in improving profitability by making necessary recommendations and controlling resources | Assigns technical staff for 24-hour maintenance coverage | ","Bachelor of Science degree in Electrical Engineering, Physics, or related field | Minimum of two years of experience with electronic circuit technology design and assembly processes | Background in electrical power applications | Experience in design, repair, and analysis of electronic systems | Exposure to electrical engineering design principles and methodologies | Knowledge of CAD software | ProE or AutoCAD preferred | Plc experience is must | ",https://wuzzuf.net/jobs/p/kuw2Bin82W3B-Electrical-Engineer-Marbella-For-Food-Industry-Giza-Egypt?o=42&l=sp&t=sj&a=energy|search-v3|hpb
Sales Team Leader Engineer - Cairo,ECS - Energy & Contracting Solutions,"Maadi, Cairo, Egypt ",1 month ago,Full timeManager · 7+ Yrs of Exp · VRF · HVAC · Business Development · Engineering · Contracting · Sales · Sales Skills · Sales Target · English · Air Handling Units,"Prepare and deliver technical presentations explaining products or services to clients and prospective clients | Collaborate with sales teams to understand client requirements and provide sales support | Secure and renew orders and arrange delivery | Plan and modify products to meet clients’ needs | Help clients solve problems with installed equipment | Recommend  improved materials or machinery to clients, showing how changes will lower costs or increase production | Search for new clients who could benefit from our products and services in a designated region | Establish new, and maintain existing, relationships with clients | Administer client accounts | Prepare reports for his direct manager | Meeting sales targets | Support marketing by attending trade shows, conferences and other marketing events | ","Qualification: Bachelor degree in Engineering | Experience in Sales not less than 7 years in Sales | MUST have experience in HVAC or Pumps , fire fighting systems or Compressors.   | Must own a Car and a valid driving license | Max. Age 35 | Must be Excellent in English  | Presentable | ",https://wuzzuf.net/jobs/p/iLarSi1kc4qh-Sales-Team-Leader-Engineer---Cairo-ECS---Energy-Contracting-Solutions-Cairo-Egypt?o=43&l=sp&t=sj&a=energy|search-v3|hpb
Graphic Design Section Head,Wadi Degla Group,"Maadi, Cairo, Egypt ",26 days ago,Full timeManager · 5 - 7 Yrs of Exp · Graphic Design · Design · Communication Skills · Communication · Marketing · Creative/Design/Art · Marketing/PR/Advertising · Media/Journalism/Publishing,,,https://wuzzuf.net/jobs/p/mfUC1En8ZpKA-Graphic-Design-Section-Head-Wadi-Degla-Group-Cairo-Egypt?o=44&l=sp&t=sj&a=energy|search-v3|hpb
Indoor Presales Engineer,G.I.S Free Zones,"Heliopolis, Cairo, Egypt ",20 days ago,Full timeExperienced · 2 - 5 Yrs of Exp · Presales · Indoor Sales · Products Manager · Sales · oil&gas · Engineering · Sales Coordinator · Business Development · English · Communication Skills,"Communicate with clients and principles, prepare technical & commercial offers, and submit on the tender due date. | Following up with clients during the evaluation phase. | Review clients’ PO and liaise between them and the principles. | Open new business opportunities and keep continuous communication channels with clients. | Prepare annual sales Forecast. | ",An Engineering Bachelor's degree is preferred. | Previous experience in the oil & gas field is preferred. | Sales related experience is preferred. | Good knowledge of Microsoft Office productivity tools. | Excellent command of the English language. | Strong communication skills. | Ability to build relationships quickly & effectively. | High level of responsiveness. | Good business sense. | Females are preferred. | Cairo residences only are accepted. | ,https://wuzzuf.net/jobs/p/M1GcoT4ZYr5O-Indoor-Presales-Engineer-G-I-S-Free-Zones-Cairo-Egypt?o=45&l=sp&t=sj&a=energy|search-v3|hpb
Sales Manager - Instrumentation Division,UFTAS,"Cairo, Egypt ",22 days ago,Full timeManager · 5 - 10 Yrs of Exp · Sales · Engineering · Tank Gauging · Instrumentation · Electrical Engineering · Mechatronics · Electronics · Business Development · Engineering - Mechanical/Electrical · Engineering - Oil & Gas/Energy,"Will be responsible on sales and after sales for product line  | Study & select of instruments models, pricing, issue quotations, execute the orders and follow-up the projects, make presentation for the range of products, Open new markets & increase customer's base, understand client requirements and identify the need for your product portfolio, identifying new opportunities and pursuing these,  | Plays a business development by seeking out new channels and new sales opportunities.  | Will get service training on the products to be able to handle the service and maintenance for the products that under his responsibility | Ability to travel inside and outside Egypt  | ","Minimum 5 years experience within a similar role. | Technical background in a related discipline (Tank Gauging, Tank accessories, Instrumentation and Control) | Knowledge of Contract terms & conditions; contract negotiation | Proven Sales Experience within the Oil & Gas Sector is preferred (2-3 years minimum)  | Ability to find and develop new business. | The ability for developing & managing sales channels | Confident and communicative | Ability to work on own initiative, execute own call plan | Ability to work in a team environment Good presentation skill | Professional manner and responsible attitude | Education major : Bachelors in Electrical, Mechanical, Mechatronics, Petroleum, or communication and electronics  | ",https://wuzzuf.net/jobs/p/RHSwXXARck0N-Sales-Manager---Instrumentation-Division-UFTAS-Cairo-Egypt?o=46&l=sp&t=sj&a=energy|search-v3|hpb
Key Account Sales Engineer - Lubricants - Down Stream (Industrial Zone),Lubemaster,"Maadi, Cairo, Egypt ",3 days ago,Full timeExperienced · 3 - 5 Yrs of Exp · Sales · Sales Skills · Sales Target · Indoor Sales · Outdoor Sales · Oil&amp;Gas · Engineering · Lubricants  down stream · Oil · Gas,"Promote and sell products/services using solid arguments to existing and prospective customers | Perform cost-benefit and needs analysis of existing/potential customers to meet their needs | Establish and maintain positive business and customer relationships | Expedite the resolution of customer problems and complaints to maximize satisfaction | Achieve agreed upon sales targets and outcomes within schedule | Coordinate sales effort with team members and other departments | Analyze the territory/market’s potential, track sales, and status reports | Keep abreast of best practices and promotional trends | Continuously improve through feedback | ","3-5 years experience | B. Sc. in Engineering is a must. | Clear military status is a must. | Self-motivated, strong communication skills, and representative. | Owning a car. | Areas industrial zone and manufacturing | ",https://wuzzuf.net/jobs/p/sW7I8gKKlmtW-Key-Account-Sales-Engineer---Lubricants---Down-Stream-Industrial-Zone-Lubemaster-Cairo-Egypt?o=47&l=sp&t=sj&a=energy|search-v3|hpb
Key Account Sales Engineer - Lubricants - Down Stream,Lubemaster,"Cairo, Egypt ",3 days ago,Full timeExperienced · 3 - 5 Yrs of Exp · Sales · Sales Skills · Sales Target · Indoor Sales · Outdoor Sales · Engineering · Lubricants  down stream · Oil · Gas · Oil & Gas,"Promote and sell products/services using solid arguments to existing and prospective customers | Perform cost-benefit and needs analysis of existing/potential customers to meet their needs | Establish and maintain positive business and customer relationships | Expedite the resolution of customer problems and complaints to maximize satisfaction | Achieve agreed upon sales targets and outcomes within schedule | Coordinate sales effort with team members and other departments | Analyze the territory/market’s potential, track sales, and status reports | Keep abreast of best practices and promotional trends | Continuously improve through feedback | ","3-5 years' experience | B. Sc. in Engineering is a must. | Clear military status is a must. | Self-motivated, strong communication skills, and representative. | Owning a car. | ",https://wuzzuf.net/jobs/p/dKLnlXCPNFdO-Key-Account-Sales-Engineer---Lubricants---Down-Stream-Lubemaster-Cairo-Egypt?o=48&l=sp&t=sj&a=energy|search-v3|hpb
Production Intern - Alexandria,Prometeon Tyres Group – Egypt  (Ex-Pirelli Tyres Egypt),"Ameria, Alexandria, Egypt ",11 days ago,InternshipEntry Level · 0 - 1 Yrs of Exp · males_only · Production · Industrial Engineering · Microsoft Office · Engineering · Faculty of engineering · Production Engineering · Manufacturing/Production · Engineering - Oil & Gas/Energy,"Planning & following up of daily production process to get maximum productivity with a good quality with respect to safety aspects. | Improving production process to get max productivity of the machinery & workers. | Analyzing daily, monthly production data, machines OEE. | The ability working on department & machines lay out . | ",Graduates of Alexandria University or Governmental Universities; Major Production / Industrial Engineering / Petrochemical Engineering | Graduate of 2020 to 2018 ( fresh graduates with no full time job has priority) | Males with Military service defined. | Alexandria Residence only. | Good to Excellent English commands. | Perfect Ms. Office commands. | Ability to work under pressure and meet deadlines with flexible schedule. | Good communication and presentation skills. | Ability to deal with different ages and mindsets. | Familiar with industrial engineering process and applications. | the ability to lead a team or to be a part of a team. | the ability to manage people from different cultures & to help them through their problems. | ,https://wuzzuf.net/jobs/p/VrL7yBBu5qPh-Production-Intern---Alexandria-Prometeon-Tyres-Group-–-Egypt-Ex-Pirelli-Tyres-Egypt-Alexandria-Egypt?o=49&l=sp&t=sj&a=energy|search-v3|hpb
